FIPS,COWS,COWS_PER_PERSON,COW_DENSITY,POPESTIMATE2020
38035,17500.0,0.25186741699169557,4.704545630703194,69481
19045,68000.0,1.4657699603379892,37.7791484262711,46392
22119,7400.0,0.19502938618453997,4.815780174587377,37943
21093,30000.0,0.26951998490688084,18.58059423080266,111309
22081,23500.0,2.836109099686218,23.326148165025028,8286
22107,900.0,0.215414073719483,0.5762597000546748,4178
47173,10100.0,0.5003219893991182,17.44152196585708,20187
51185,28000.0,0.6908633324286314,20.83855821418355,40529
40087,52000.0,1.257618264486795,35.17909314720757,41348
17109,16000.0,0.5461682881037719,10.482595057867217,29295
27083,56000.0,2.2159787899172967,30.26511523773111,25271
46071,65000.0,19.572417946401686,13.46471157339424,3321
13153,5000.0,0.031228530385360064,5.13371195834861,160110
42051,15600.0,0.1217551472768993,7.616984407690153,128126
